type,slug,total,grade,seo,aeo,geo,R-SEO-01,R-SEO-02,R-SEO-03,R-SEO-04,R-SEO-05,R-SEO-06,R-SEO-07,R-SEO-08,R-AEO-01,R-AEO-02,R-AEO-03,R-AEO-04,R-AEO-05,R-AEO-06,R-AEO-07,R-GEO-01,R-GEO-02,R-GEO-03,R-GEO-04,R-GEO-05,R-GEO-06,R-GEO-07
insights,claude-cowork-built-in-browser,97.4,A,100,100,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,claude-cowork-vs-code-comparison,84.5,A,84.4,72.5,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS
insights,claude-cowork-what-you-can-do,94.7,A,100,82.4,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-design-guide,90.5,A,90.6,79.4,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-design-launch-review,100,A,100,100,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-fable-5-1-mythos-5-1-update,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-fable-5-mythos-5-update-claude-code,93.9,A,100,91.2,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-free-plan-guide,87.9,A,90.6,91.2,82.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,FAIL,PASS,PARTIAL,PASS
insights,claude-gmail-drive-cowork-update,97.4,A,100,100,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS
insights,claude-load-bearing-vocabulary-github-pr,94.7,A,100,82.4,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-max-codex-pro-20x-comparison,93,A,100,91.2,87.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,claude-max-usage-limit-class-action,92.3,A,90.6,91.2,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS
insights,claude-md-setup-official-docs,92,A,100,85,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
insights,claude-opus-5-update-and-usage,90.6,A,90.6,91.2,90,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-sonnet-5-price-permanent,90.5,A,90.6,79.4,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,FAIL,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-text-watermark-detection-limits,94.1,A,90.6,91.2,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-work-use-cases-and-projects,93,A,100,91.2,87.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS
insights,cli-meaning-claude-code-guide,81.3,A,84.4,85,75,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS
insights,cloudflare-ai-bot-blocking-ddos-defense,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,codex-claude-code-import-migration,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,codex-cli-mac-easy-setup-guide,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,codex-cli-practical-guide,94.5,A,90.6,92.5,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,codex-cli-shortcuts-guide,83.6,A,100,77.5,72.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,codex-cli-vs-claude-code,96.7,A,90.6,100,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,codex-cli-windows-easy-setup-guide,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,content-seo-strategy-guide,94.1,A,90.6,91.2,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,conversion-and-conversion-campaign,88.5,A,100,85,80,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,FAIL,PASS,PASS
insights,coupang-hijack-ads-regulation,90.6,A,90.6,85.3,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,N/A,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS
insights,coupang-robots-txt-partners-strategy,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,crm-marketer-must-do-3-things,81.2,A,90.6,77.5,75,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,FAIL,PARTIAL,PASS,PASS
insights,dario-amodei-we-must-pace-the-frontier,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,data-driven-google-meta-campaign-strategy-2,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,data-driven-google-meta-campaign-strategy,87.3,A,100,57.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,data-visualization-best-practices,90.6,A,100,77.5,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,deepseek-v4-flash-guide,89.7,A,90.6,91.2,87.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,deepseek-v4-pro-release-1m-context,87.3,A,90.6,77.5,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,dgx-vs-rtx-local-ai-comparison,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,enterprise-ai-adoption-failure-data-readiness,92.2,A,90.6,85,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,facebook-ad-account-disabled-guide,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,free-llm-api-router-limits-and-data-cost,89.7,A,90.6,91.2,87.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,ga4-bigquery-attribution-models,78.8,B,100,70,65,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PARTIAL,PASS,PARTIAL,PASS,FAIL,PARTIAL,PASS
insights,ga4-campaign-data-import-validation,94.3,A,100,92.5,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
insights,ga4-data-loss-automation-with-bigquery,83.8,A,100,75,75,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PASS,PASS,PASS,PASS
insights,ga4-direct-none-traffic-guide,89.3,A,100,70,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,ga4-lead-events-explained,88.1,A,100,75,87.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,ga4-not-provided-explained,88.5,A,90.6,72.5,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,FAIL,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ga4-quota-error-fix,88.3,A,84.4,85,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,ga4-session-source-medium-not-set,93.8,A,100,85,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,gemini-3-6-flash,98.3,A,100,100,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS
insights,gemini-3-7-flash-gpt-5-6-ultrafast,89.7,A,90.6,91.2,87.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,gemini-3-8-flash-cyber-release,96,A,100,92.5,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,gemini-cli-install-guide,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,gemini-notebook-guide,92.3,A,90.6,91.2,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,gemini-omni-guide,90.6,A,90.6,100,82.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,FAIL,PASS,PARTIAL,PASS
insights,gemini-spark-guide,95.1,A,100,92.5,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,gemini-student-plan-free-year,96.5,A,100,100,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
insights,genspark-genoffice-guide,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,genspark-secondbrain-omi-plaud-comparison,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,geo-agency-selection-criteria,100,A,100,100,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,geo-marketing-start-guide,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,gmail-api-what-you-can-do,86.4,A,93.8,67.6,95,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,FAIL,PASS,PASS,PARTIAL,N/A,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,gmail-live-docs-live-keep-live-voice-guide,93.8,A,100,88.2,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,google-ads-ai-max-auto-upgrade-2026,100,A,100,100,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
